Tiempo;Hora;Fecha;Muestra;Tipo;Subtipo;Canal;Anotador;Informacion
00:00:00.000;0:00:00;01/01/0001;0;"""";0;0;0;## time resolution: 500
00:00:00.000;0:00:00;01/01/0001;0; ;0;0;0;
00:00:00.704;0:00:00;01/01/0001;352;N;0;0;12;
00:00:00.938;0:00:00;01/01/0001;469;t;0;0;12;
00:00:01.454;0:00:01;01/01/0001;727;N;0;0;12;
00:00:01.678;0:00:01;01/01/0001;839;t;0;0;12;
00:00:02.270;0:00:02;01/01/0001;1135;N;0;0;12;
00:00:02.492;0:00:02;01/01/0001;1246;t;0;0;12;
00:00:03.198;0:00:03;01/01/0001;1599;N;0;0;12;
00:00:03.430;0:00:03;01/01/0001;1715;t;0;0;12;
00:00:04.134;0:00:04;01/01/0001;2067;N;0;0;12;
00:00:04.366;0:00:04;01/01/0001;2183;t;0;0;12;
00:00:05.050;0:00:05;01/01/0001;2525;N;0;0;12;
00:00:05.276;0:00:05;01/01/0001;2638;t;0;0;12;
00:00:05.984;0:00:05;01/01/0001;2992;N;0;0;12;
00:00:06.218;0:00:06;01/01/0001;3109;t;0;0;12;
00:00:06.872;0:00:06;01/01/0001;3436;N;0;0;12;
00:00:07.112;0:00:07;01/01/0001;3556;t;0;0;12;
00:00:07.740;0:00:07;01/01/0001;3870;N;0;0;12;
00:00:07.960;0:00:07;01/01/0001;3980;t;0;0;12;
00:00:08.586;0:00:08;01/01/0001;4293;N;0;0;12;
00:00:08.814;0:00:08;01/01/0001;4407;t;0;0;12;
